dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate,norm_error_rate:mean,norm_error_rate:std,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:std
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.172 ± 0.034,0.1724299065420561,0.034446574755106756,0.330 ± 0.045,0.3301111056366324,0.04496648277857675
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.326 ± 0.007,0.32616822429906545,0.006867728250793961,0.532 ± 0.012,0.5323435743075275,0.011889003423807786
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.326 ± 0.007,0.32616822429906545,0.006867728250793961,0.534 ± 0.011,0.533653826842122,0.01144793464405617
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.318 ± 0.000,0.31775700934579443,0.0,0.683 ± 0.000,0.6827604532693797,0.0003676292735829293
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.309 ± 0.007,0.3088785046728971,0.006508592652889782,0.682 ± 0.000,0.682056906397773,0.00042464805372896574
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.318 ± 0.000,0.31775700934579443,0.0,0.521 ± 0.005,0.5206495784000816,0.00472581803875143
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.559 ± 0.032,0.5589793915603533,0.03219293813309168,0.796 ± 0.113,0.7963326153995236,0.11304513527396505
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.470 ± 0.022,0.4704331978129819,0.021809994578315745,0.495 ± 0.020,0.49528154596948415,0.01976667626903727
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.479 ± 0.023,0.4785153511846348,0.023191401254554624,0.572 ± 0.036,0.5723682266726497,0.03588590518558171
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.833 ± 0.000,0.8327565097757059,3.0033250172984093e-05
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.476 ± 0.022,0.47553624001121547,0.021822859292309302,0.513 ± 0.017,0.5128088679544549,0.01741116053127524
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.678 ± 0.001,0.67832332851284,0.0008242263300522217
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.315 ± 0.080,0.31512280701754386,0.08030515821814924,0.434 ± 0.075,0.4343986360727031,0.07486601910454391
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.312 ± 0.086,0.3122105263157895,0.08577555944995943,0.426 ± 0.077,0.4263411319653275,0.07651958374736335
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.317 ± 0.075,0.31726315789473686,0.07513456482632015,0.432 ± 0.070,0.4318420423294723,0.06983867434630414
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.312 ± 0.086,0.3122105263157895,0.08577555944995943,0.431 ± 0.079,0.43067241438505555,0.07900358434587783
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.312 ± 0.086,0.3122105263157895,0.08577555944995943,0.426 ± 0.077,0.4263411319653275,0.07651958374736335
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.320 ± 0.030,0.3196140350877193,0.030498353799632106,0.451 ± 0.033,0.45138440640371513,0.0327756599455733
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.336 ± 0.068,0.33550877192982453,0.0681820025553156,0.483 ± 0.063,0.4830522530037915,0.06258915036411127
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.991 ± 0.001,0.990595834139592,0.0006628131230556093
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.315 ± 0.038,0.31480701754385965,0.03810154742634391,0.444 ± 0.034,0.4438028315125616,0.03423822700478842
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.768 ± 0.018,0.7681803696507866,0.01759905598492156
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.021 ± 0.004,0.02101494396014944,0.004039831653910642,0.029 ± 0.006,0.02871671934695571,0.005647907645551356
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.145 ± 0.001,0.14492528019925283,0.001470201613090622,0.159 ± 0.000,0.15945118191540406,0.0003631336729063766
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.4007238480697385,6.740546418000864e-05,1.366 ± 0.000,1.3662696995168444,0.0002955945007469674
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.152 ± 0.002,0.15202366127023664,0.0018434459954031698,0.221 ± 0.000,0.22057799714237877,0.00018437121207824728
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,0.869 ± 0.001,0.8693113232844107,0.0012890064047582396
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.573 ± 0.031,0.5729706995654003,0.030831855194986796,0.810 ± 0.160,0.809787550000042,0.15952760870323787
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.509 ± 0.055,0.5091826720874808,0.054618770203441275,0.560 ± 0.056,0.5603102088217777,0.055717250275880224
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.555 ± 0.065,0.5554815645590916,0.06495031656274773,1.055 ± 0.120,1.0547900753524462,0.12032155823634656
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.833 ± 0.000,0.8327565097757057,3.003325017298409e-05
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.506 ± 0.028,0.5062386092808075,0.028437787771754767,0.582 ± 0.026,0.5817690866673303,0.025798174779404846
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.694 ± 0.012,0.693787156763767,0.01243583499027523
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.214 ± 0.034,0.21397882938978827,0.03405123731594488,0.373 ± 0.120,0.37342546928630227,0.12014417139885822
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.255 ± 0.032,0.2545454545454545,0.03246921885889979,0.683 ± 0.077,0.6832468703843073,0.07682592640935722
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.160 ± 0.035,0.16005603985056038,0.034765596054341055,0.274 ± 0.160,0.2743086165854547,0.1596226258555484
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.255 ± 0.032,0.2545454545454545,0.03246921885889979,0.496 ± 0.026,0.49623178465912776,0.025575281258767724
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.255 ± 0.032,0.2545454545454545,0.03246921885889979,0.683 ± 0.077,0.6832468703843073,0.07682592640935722
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.190 ± 0.024,0.18960149439601495,0.02396411034904575,0.220 ± 0.037,0.21978774487721534,0.03689961351943492
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.197 ± 0.033,0.19726027397260273,0.033080217546866124,0.527 ± 0.545,0.5266760487015051,0.5448790577757551
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.400747198007472,7.626057729713766e-05,1.366 ± 0.000,1.3663720964555908,0.0003344270015354123
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.198 ± 0.025,0.19841220423412204,0.025121388616253855,0.283 ± 0.060,0.282626094307217,0.06006675480979573
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713766e-05,0.917 ± 0.034,0.9169258976108969,0.03425567446344901
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.240 ± 0.032,0.24003735990037356,0.032465725957643354,0.429 ± 0.069,0.4291450254129924,0.06915079186855687
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.274 ± 0.050,0.27400373599003736,0.050445800260715976,0.785 ± 0.096,0.7848727712428331,0.09565004854835996
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.216 ± 0.031,0.21559775840597756,0.031219991244430163,0.417 ± 0.032,0.4170091543060111,0.03204665992213826
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.274 ± 0.050,0.27400373599003736,0.050445800260715976,0.524 ± 0.041,0.5235992115593036,0.041036876286856885
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.274 ± 0.050,0.27400373599003736,0.050445800260715976,0.785 ± 0.096,0.7848727712428331,0.09565004854835996
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.298 ± 0.047,0.29806973848069734,0.04655804531600581,0.375 ± 0.077,0.3748592295573193,0.07726694043820331
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.335 ± 0.062,0.33518057285180575,0.06182411340873706,0.922 ± 0.230,0.9224689694161299,0.2301666777046452
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,1.366 ± 0.000,1.3663720964555908,0.0003344270015354123
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.272 ± 0.024,0.27247820672478207,0.02433349829259937,0.407 ± 0.036,0.40677454195445933,0.03614670629258684
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,0.896 ± 0.043,0.896422336488435,0.04328488377672331
dbpedia,16,224,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.110 ± 0.027,0.10996264009962639,0.0269761305032509,0.222 ± 0.187,0.22225183446365754,0.18720386921763352
dbpedia,16,224,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.152 ± 0.002,0.15168119551681195,0.002235532138358186,0.178 ± 0.007,0.17801450523161763,0.006902303810850003
dbpedia,16,224,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.400747198007472,7.626057729713766e-05,1.366 ± 0.000,1.3663720964555908,0.0003344270015354123
dbpedia,16,224,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.157 ± 0.005,0.15740971357409714,0.005048388778163284,0.229 ± 0.005,0.2293681409552756,0.004832048420359956
dbpedia,16,224,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713766e-05,0.872 ± 0.004,0.8724810600942933,0.003973717341630442
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.236 ± 0.074,0.2363157894736842,0.07419430787895678,0.362 ± 0.079,0.3618852022109461,0.07851690223403675
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.236 ± 0.067,0.23642105263157895,0.06664603558885315,0.359 ± 0.073,0.35923946524438694,0.07272186728808963
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.237 ± 0.066,0.23673684210526313,0.06617767107543836,0.360 ± 0.074,0.36014988314171203,0.07375909535630144
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.236 ± 0.067,0.23642105263157895,0.06664603558885315,0.361 ± 0.076,0.36075361342079026,0.07600554535231613
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.236 ± 0.067,0.23642105263157895,0.06664603558885315,0.359 ± 0.073,0.35923946524438694,0.07272186728808963
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.300 ± 0.027,0.2999298245614035,0.027207036549323875,0.427 ± 0.040,0.4273243680411392,0.03981251083128538
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.300 ± 0.027,0.3000701754385965,0.02715313435770959,0.428 ± 0.040,0.42755851119366983,0.039940678947510785
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.991 ± 0.001,0.990595834139592,0.0006628131230556093
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.300 ± 0.027,0.29968421052631583,0.02678284939756931,0.432 ± 0.030,0.4316742115157951,0.029698698116976684
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.768 ± 0.028,0.7678398431939554,0.027746348446175524
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.145 ± 0.000,0.1446917808219178,7.783312577834545e-05,0.160 ± 0.000,0.15958405804333403,3.4365926549900783e-06
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.511 ± 0.020,0.5105565680639282,0.02043795734387274,0.595 ± 0.036,0.5949449527911168,0.03598999643600394
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.427 ± 0.006,0.4270853778213935,0.0059410279604762434,0.453 ± 0.006,0.45344815666259164,0.005599636884804919
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.833 ± 0.000,0.8327565097757059,3.0033250172984093e-05
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.427 ± 0.006,0.42728164867517177,0.006154732706435499,0.454 ± 0.005,0.4541924737347453,0.005160438610033915
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.681 ± 0.003,0.6813154876939242,0.00312238198295018
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.473 ± 0.250,0.47289719626168225,0.25016633474324246,0.747 ± 0.232,0.7469797848670224,0.23197728316499538
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.489 ± 0.225,0.48925233644859817,0.22514734454003282,1.260 ± 0.842,1.2600260082951438,0.8423527393331293
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.473 ± 0.250,0.47289719626168225,0.25016633474324246,0.747 ± 0.232,0.7469797848670224,0.23197728316499538
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.484 ± 0.225,0.4841121495327103,0.2249474662324875,0.733 ± 0.217,0.7326715874939639,0.21743793139445936
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.473 ± 0.250,0.47289719626168225,0.25016633474324246,1.328 ± 0.968,1.3277290581435712,0.9680617794287156
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.370 ± 0.024,0.36962616822429906,0.023891258002176122,0.597 ± 0.045,0.5967138033748633,0.04470689777458562
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.391 ± 0.015,0.3911214953271028,0.014598597525059157,2.783 ± 4.114,2.7834928451862035,4.1142946241143346
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.318 ± 0.000,0.31775700934579443,0.0,0.683 ± 0.000,0.6827604532693797,0.00036762927358292917
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.414 ± 0.102,0.414018691588785,0.10167605808567587,0.710 ± 0.029,0.7096325191062546,0.028999180549195078
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.318 ± 0.000,0.31775700934579443,0.0,0.554 ± 0.036,0.5535555151324671,0.0362130616209153
20newsgroups,256,5120,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.341 ± 0.008,0.3409505117061545,0.008433076953107157,0.341 ± 0.012,0.3410029622587681,0.012260568064963551
20newsgroups,256,5120,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.417 ± 0.001,0.41701948689191076,0.0009366770272530581,0.440 ± 0.000,0.4399438113116215,0.00036899007990640346
20newsgroups,256,5120,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.833 ± 0.000,0.8327565097757057,3.003325017298409e-05
20newsgroups,256,5120,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.417 ± 0.001,0.41696340950511707,0.0011540230269035028,0.442 ± 0.000,0.4415224794859272,0.00025542627775323746
20newsgroups,256,5120,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.677 ± 0.000,0.6773121725249197,0.00020817460101070186
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.519 ± 0.279,0.5186915887850467,0.2785650376781207,0.771 ± 0.348,0.7712014455524552,0.34825008673360164
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.531 ± 0.290,0.5313084112149532,0.2895371749895591,0.774 ± 0.316,0.77371518054883,0.3159462908497129
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.530 ± 0.286,0.530373831775701,0.2861477128721671,0.752 ± 0.286,0.751572091553413,0.2859551470110875
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.531 ± 0.290,0.5313084112149532,0.2895371749895591,0.778 ± 0.346,0.777904610419875,0.3456931986907471
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.531 ± 0.290,0.5313084112149532,0.2895371749895591,0.774 ± 0.316,0.77371518054883,0.3159462908497129
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.320 ± 0.023,0.31962616822429907,0.023336431755483684,0.533 ± 0.013,0.532769207458579,0.01294194646562001
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.325 ± 0.022,0.3252336448598131,0.022185191533587313,0.776 ± 0.426,0.7755811751739212,0.4260658863945453
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.318 ± 0.000,0.31775700934579443,0.0,0.683 ± 0.000,0.6827604532693797,0.0003676292735829292
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.373 ± 0.078,0.3728971962616823,0.0776263730078695,0.697 ± 0.018,0.6967002265593645,0.01760623525347886
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.318 ± 0.000,0.31775700934579443,0.0,0.561 ± 0.047,0.5610248848082582,0.04739597975391346
agnews,256,1024,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.143 ± 0.005,0.14273684210526316,0.004945501700833352,0.228 ± 0.007,0.22788426660362182,0.007148952171786372
agnews,256,1024,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.273 ± 0.001,0.2730877192982456,0.0011293668027670797,0.390 ± 0.001,0.39008478414130404,0.0007933932752379266
agnews,256,1024,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.273 ± 0.001,0.2730175438596491,0.0005592062263336582,0.391 ± 0.001,0.39059831438229786,0.0008439811211459064
agnews,256,1024,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.991 ± 0.001,0.990595834139592,0.0006628131230556093
agnews,256,1024,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.275 ± 0.001,0.2754385964912281,0.001200184657999103,0.405 ± 0.000,0.4048691956565305,0.00045172235904423135
agnews,256,1024,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.754 ± 0.002,0.7535346410986283,0.0022717624474071518
